Price,Open,High,Low,Close,Volume
Ticker,PETR4.SA,PETR4.SA,PETR4.SA,PETR4.SA,PETR4.SA
Date,,,,,
2015-07-22,2.916059820784166,2.9462924664474537,2.8391044958484355,2.8473496437072754,30155200
2015-07-23,2.8088722210960726,2.9023181074776585,2.7813880443572994,2.7813880443573,50696500
2015-07-24,2.795130392197119,2.8116206900843403,2.682445728903057,2.756652593612671,45143700
2015-07-27,2.737413944890824,2.7456590941944197,2.6109871864318848,2.6109871864318848,54768800
2015-07-28,2.663206426677885,2.8088721950929316,2.641219190333828,2.753904104232788,72306100
2015-07-29,2.75115523191451,2.960034208751262,2.7236710594486504,2.9407951831817627,88194700
2015-07-30,2.976525986745638,3.0040101729160904,2.814369864978946,2.8638412952423096,47498400
2015-07-31,2.880330581901539,2.9407956128966033,2.8363561092173217,2.8830790519714355,37462200
2015-08-03,2.8473500183180653,2.8610921079631226,2.734665355024003,2.756652593612671,41499600
2015-08-04,2.7868853231264072,2.872085809572224,2.775891703516993,2.792382001876831,30786900
2015-08-05,2.861091299910004,2.899569087627236,2.751155138015747,2.751155138015747,43759700
2015-08-06,2.7099294573328394,2.8555952304725625,2.6769486017470174,2.841853141784668,60293400
2015-08-07,2.817117250325544,2.8995695149518985,2.660458131011436,2.6632063388824463,65832700
2015-08-10,2.6961881887853356,2.756652972152841,2.6302262018529547,2.745659351348877,51017800
2015-08-11,2.690690293514174,2.742909908294678,2.602741358259219,2.7429099082946777,45648700
2015-08-12,2.6934393070562574,2.751155872997054,2.6577099793682826,2.6989359855651855,40039100
2015-08-13,2.7236718546457843,2.7401624153615463,2.6109871864318848,2.6109871864318848,31405700
2015-08-14,2.6412200475599388,2.660459082186549,2.5560195446014404,2.5560195446014404,28018600
2015-08-17,2.5285347702417607,2.5725092469594086,2.5065475318829367,2.5147926807403564,33125100
2015-08-18,2.4900568313697793,2.5285343612192137,2.4240948648549367,2.470817804336548,38013600
2015-08-19,2.459824518692171,2.4873086969558575,2.371875567622053,2.4021079540252686,37036000
2015-08-20,2.374623682161031,2.4625726200567506,2.3526364476871007,2.3883655071258545,38857700
2015-08-21,2.3636302648963867,2.3746238830634545,2.278429527520211,2.2811779975891113,39848800
2015-08-24,2.13276384194393,2.2454484842083122,2.069550477271513,2.1684930324554443,70881000
2015-08-25,2.226209860470135,2.2619389221888873,2.1574995517730713,2.1574995517730713,58283200
2015-08-26,2.2179643132817084,2.234454870223999,2.157499418358912,2.234454870223999,43893300
2015-08-27,2.2674360222993,2.454327802557492,2.261939081887685,2.4515793323516846,66820200
2015-08-28,2.382868921365334,2.5807543013630543,2.3663783638203073,2.4790632724761963,77260900
2015-08-31,2.3938631904352237,2.553270820944322,2.3416435578651087,2.5257866382598877,76576400
2015-09-01,2.404856764004357,2.4983026687716148,2.347140191183909,2.36088228225708,52756400
2015-09-02,2.4048559135378507,2.4295916163001703,2.289422808719354,2.4240946769714355,56050600
2015-09-03,2.454327636265305,2.531282962054017,2.347139664478203,2.407604694366455,56645400
2015-09-04,2.3636305534782593,2.4076050315154904,2.338894844055176,2.338894844055176,35463400
2015-09-08,2.3911143110056767,2.415850018771603,2.35813345468729,2.374624013900757,29383000
2015-09-09,2.4213470580514977,2.446082504718577,2.2976685141733144,2.3059139251708984,38706300
2015-09-10,2.171241940545174,2.239951996653371,2.1465062312293117,2.1904807090759277,62858700
2015-09-11,2.1822353835484947,2.195977341237229,2.086041155510269,2.1052799224853516,53647300
2015-09-14,2.116273810360236,2.149254801329525,2.050312090530233,2.1217706203460693,52851400
2015-09-15,2.1025314331054688,2.162996330933988,2.0722989186640786,2.1025314331054688,35102900
2015-09-16,2.1355126576542403,2.264687754631451,2.12726737735369,2.23720383644104,66613400
2015-09-17,2.2124685249018192,2.228958826363082,2.1602487564086914,2.1602487564086914,72887600
2015-09-18,2.130015597594608,2.1327640677233592,2.0613054170270395,2.088789463043213,68097000
2015-09-21,2.1052792232892656,2.110776030750038,2.0063366889953613,2.0063366889953613,41063600
2015-09-22,1.9898469948204538,1.9898469948204538,1.8716655178532557,1.9156399965286255,66720700
2015-09-23,1.912891757195443,1.9678598584148501,1.8414330945559225,1.874414086341858,64774800
2015-09-24,1.8166973902763899,1.9623629140717758,1.813948919876263,1.9128916263580322,56577300
2015-09-25,1.9568662381709687,1.9843502887806723,1.8606719955098605,1.874414086341858,44843100
2015-09-28,1.8524268671682103,1.855175337982397,1.7699747085571291,1.769974708557129,37466900
2015-09-29,1.7974582919522601,1.866168471709011,1.7864646736755214,1.8112003803253174,52387600
2015-09-30,1.992594937688446,1.9953434074050904,1.9156394893276434,1.9898464679718018,107779500
2015-10-01,2.0090858938916516,2.050312033158969,1.921136805524994,1.929382085800171,69296500
2015-10-02,1.9211365364570283,2.152002779176222,1.8964009612044472,2.135512351989746,88891400
2015-10-05,2.1712415570922463,2.237203393267237,2.1300154258646593,2.149254322052002,68350300
2015-10-06,2.1602480461765103,2.2921715939824256,2.1547512371451916,2.2509453296661377,81259300
2015-10-07,2.338894504448684,2.446082213573684,2.2729327969704487,2.3279008865356445,116610600
2015-10-08,2.325152640336637,2.4295921516175443,2.275681223911852,2.4048564434051514,68670000
2015-10-09,2.479062712746788,2.492804535138372,2.3581326836765513,2.41859769821167,71885200
2015-10-13,2.29766810393434,2.327900747977121,2.2179643132817084,2.234454870223999,56100600
2015-10-14,2.2179648473283176,2.2619393269513535,2.1684935577524023,2.187732458114624,75339100
2015-10-15,2.198725700378418,2.217964466382,2.1080282862064905,2.198725700378418,61444100
2015-10-16,2.195977348927357,2.220713056329681,2.1465060651769807,2.184983730316162,42963800
2015-10-19,2.1712417725793043,2.1877322004960966,2.132764107440123,2.184983730316162,40096200
2015-10-20,2.1987253461867304,2.250944957830931,2.1904800684746633,2.2124674320220947,47938700
2015-10-21,2.1849839486148994,2.2152165993975945,2.1190222303575865,2.1300158500671387,45394400
2015-10-22,2.149254689504128,2.2289583646246007,2.14650621912707,2.2042229175567627,46174500
2015-10-23,2.270184328544575,2.275681006450656,2.1822352541248065,2.195977210998535,45715300
2015-10-26,2.2124677725198696,2.2344550083968833,2.1437575948770693,2.1574995517730713,35069500
2015-10-27,2.160248113739533,2.160248113739533,2.075047505562261,2.088789463043213,44085700
2015-10-28,2.1629964930937726,2.184983730316162,2.1602481539681095,2.184983730316162,4630900
2015-10-29,2.0805440967500433,2.179486652040304,2.0805440967500433,2.0915377140045166,41336300
2015-10-30,2.0887891426217875,2.138260548916227,2.072298717541724,2.1190216541290283,36951300
2015-11-03,2.154750806788698,2.33064866065979,2.135511913494428,2.33064866065979,60306200
